n_programs,simulated_positions,n_applicants,interviews_per_spot,max_applications,result_file_prefix,signal_value,reviews
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,20,300.28571428571433
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,21,315.30000000000007
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,22,330.3142857142857
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,23,345.32857142857137
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,24,360.34285714285727
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,25,375.35714285714283
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,26,390.37142857142857
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,27,405.38571428571424
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,28,420.3999999999999
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,29,435.4142857142857
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,30,450.4285714285714
770,1540,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,31,465.44285714285724
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,0,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,1,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,2,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,3,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,4,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,5,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,6,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,7,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,8,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,9,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,10,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,11,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,12,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,13,589.8374999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,14,589.530625
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,15,584.4759375
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,16,549.9992708333333
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,17,451.12250000000006
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,18,332.50906249999997
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,19,260.7279166666666
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,20,246.74354166666666
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,21,253.1552083333334
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,22,264.8564583333333
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,23,276.86250000000007
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,24,288.8999999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,25,300.9375
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,26,312.9750000000001
